module,resource_key,arabic_name,english_name,current_route,current_status,target_classification,target_parent_or_resource,remain_navigable,own_persistence,priority,reason
core,core_erp_general_settings,"الإعدادات العامة للنظام","ERP General Settings","/admin/core/erp-general-settings [admin.core.erp-general-settings.index]",UI_SHELL_ONLY_EMPTY_DATASET,MERGE_INTO_PARENT,"ERP Settings",false,false,P1,"Subordinate data for ERP Settings; keep it as a tab, repeater, relationship, or child collection instead of a menu CRUD."
core,core_company_operational_settings,"إعدادات تشغيل الشركة","Company Operational Settings","/admin/core/company-operational-settings [admin.core.company-operational-settings.index]",UI_SHELL_ONLY_EMPTY_DATASET,MERGE_INTO_PARENT,"ERP Settings",false,false,P1,"Subordinate data for ERP Settings; keep it as a tab, repeater, relationship, or child collection instead of a menu CRUD."
core,core_branch_operational_settings,"إعدادات تشغيل الفرع","Branch Operational Settings","/admin/core/branch-operational-settings [admin.core.branch-operational-settings.index]",UI_SHELL_ONLY_EMPTY_DATASET,MERGE_INTO_PARENT,"ERP Settings",false,false,P1,"Subordinate data for ERP Settings; keep it as a tab, repeater, relationship, or child collection instead of a menu CRUD."
core,core_financial_period_control,"التحكم في الفترات المالية","Financial Period Control","/admin/core/financial-period-control [admin.core.financial-period-control.index]",UI_SHELL_ONLY_EMPTY_DATASET,MERGE_INTO_PARENT,"ERP Settings",false,false,P1,"Subordinate data for ERP Settings; keep it as a tab, repeater, relationship, or child collection instead of a menu CRUD."
core,core_document_sequence_definitions,"تعريفات تسلسل المستندات","Document Sequence Definitions","/admin/core/document-sequence-definitions [admin.core.document-sequence-definitions.index]",UI_SHELL_ONLY_EMPTY_DATASET,DUPLICATE,"Existing per-resource document number settings",false,false,P1,"Responsibility is canonically owned by Existing per-resource document number settings; a second resource would split traceability and permissions."
core,core_numbering_policies,"سياسات الترقيم","Numbering Policies","/admin/core/numbering-policies [admin.core.numbering-policies.index]",UI_SHELL_ONLY_EMPTY_DATASET,DUPLICATE,"Existing per-resource document number settings",false,false,P1,"Responsibility is canonically owned by Existing per-resource document number settings; a second resource would split traceability and permissions."
core,core_status_definitions,"تعريفات الحالات","Status Definitions","/admin/core/status-definitions [admin.core.status-definitions.index]",UI_SHELL_ONLY_EMPTY_DATASET,FUTURE_BACKLOG,"Configurable workflow foundation",false,true,P2,"Plausible ERP capability, but not confirmed for the immediate Plastic Factory execution path and not implemented beyond shell metadata."
core,core_status_transition_rules,"قواعد انتقال الحالات","Status Transition Rules","/admin/core/status-transition-rules [admin.core.status-transition-rules.index]",UI_SHELL_ONLY_EMPTY_DATASET,FUTURE_BACKLOG,"Configurable workflow foundation",false,true,P2,"Plausible ERP capability, but not confirmed for the immediate Plastic Factory execution path and not implemented beyond shell metadata."
core,core_approval_workflow_definitions,"تعريفات مسارات الاعتماد","Approval Workflow Definitions","/admin/core/approval-workflow-definitions [admin.core.approval-workflow-definitions.index]",UI_SHELL_ONLY_EMPTY_DATASET,FUTURE_BACKLOG,"Configurable workflow foundation",false,true,P2,"Plausible ERP capability, but not confirmed for the immediate Plastic Factory execution path and not implemented beyond shell metadata."
core,core_notification_rules,"قواعد الإشعارات","Notification Rules","/admin/core/notification-rules [admin.core.notification-rules.index]",UI_SHELL_ONLY_EMPTY_DATASET,FUTURE_BACKLOG,"Configurable workflow foundation",false,true,P2,"Plausible ERP capability, but not confirmed for the immediate Plastic Factory execution path and not implemented beyond shell metadata."
core,core_attachment_categories,"تصنيفات المرفقات","Attachment Categories","/admin/core/attachment-categories [admin.core.attachment-categories.index]",UI_SHELL_ONLY_EMPTY_DATASET,FUTURE_BACKLOG,"Configurable workflow foundation",false,true,P2,"Plausible ERP capability, but not confirmed for the immediate Plastic Factory execution path and not implemented beyond shell metadata."
core,core_document_templates,"قوالب المستندات","Document Templates","/admin/core/document-templates [admin.core.document-templates.index]",UI_SHELL_ONLY_EMPTY_DATASET,FUTURE_BACKLOG,"Configurable workflow foundation",false,true,P2,"Plausible ERP capability, but not confirmed for the immediate Plastic Factory execution path and not implemented beyond shell metadata."
core,core_print_templates,"قوالب الطباعة","Print Templates","/admin/core/print-templates [admin.core.print-templates.index]",UI_SHELL_ONLY_EMPTY_DATASET,FUTURE_BACKLOG,"Configurable workflow foundation",false,true,P2,"Plausible ERP capability, but not confirmed for the immediate Plastic Factory execution path and not implemented beyond shell metadata."
core,core_tax_definitions,"تعريفات الضرائب","Tax Definitions","/admin/core/tax-definitions [admin.core.tax-definitions.index]",UI_SHELL_ONLY_EMPTY_DATASET,KEEP_STANDALONE,"Commercial policy masters",true,true,P1,"Independent master, transaction, planning workspace, or controlled document required by the target responsibility."
core,core_currency_rate_policies,"سياسات أسعار العملات","Currency Rate Policies","/admin/core/currency-rate-policies [admin.core.currency-rate-policies.index]",UI_SHELL_ONLY_EMPTY_DATASET,MERGE_INTO_PARENT,"ERP Settings",false,false,P1,"Subordinate data for ERP Settings; keep it as a tab, repeater, relationship, or child collection instead of a menu CRUD."
core,core_payment_terms,"شروط السداد","Payment Terms","/admin/core/payment-terms [admin.core.payment-terms.index]",UI_SHELL_ONLY_EMPTY_DATASET,KEEP_STANDALONE,"Commercial policy masters",true,true,P1,"Independent master, transaction, planning workspace, or controlled document required by the target responsibility."
core,core_delivery_terms,"شروط التسليم","Delivery Terms","/admin/core/delivery-terms [admin.core.delivery-terms.index]",UI_SHELL_ONLY_EMPTY_DATASET,KEEP_STANDALONE,"Commercial policy masters",true,true,P1,"Independent master, transaction, planning workspace, or controlled document required by the target responsibility."
core,core_warranty_terms,"شروط الضمان","Warranty Terms","/admin/core/warranty-terms [admin.core.warranty-terms.index]",UI_SHELL_ONLY_EMPTY_DATASET,KEEP_STANDALONE,"Commercial policy masters",true,true,P1,"Independent master, transaction, planning workspace, or controlled document required by the target responsibility."
core,core_units_conversion_policies,"سياسات الوحدات والتحويل","Units and Conversion Policies","/admin/core/units-conversion-policies [admin.core.units-conversion-policies.index]",UI_SHELL_ONLY_EMPTY_DATASET,MERGE_INTO_PARENT,"ERP Settings",false,false,P1,"Subordinate data for ERP Settings; keep it as a tab, repeater, relationship, or child collection instead of a menu CRUD."
core,core_product_classification_settings,"إعدادات تصنيف المنتجات","Product Classification Settings","/admin/core/product-classification-settings [admin.core.product-classification-settings.index]",UI_SHELL_ONLY_EMPTY_DATASET,MERGE_INTO_PARENT,"ERP Settings",false,false,P1,"Subordinate data for ERP Settings; keep it as a tab, repeater, relationship, or child collection instead of a menu CRUD."
core,core_warehouse_policies,"سياسات المخازن","Warehouse Policies","/admin/core/warehouse-policies [admin.core.warehouse-policies.index]",UI_SHELL_ONLY_EMPTY_DATASET,MERGE_INTO_PARENT,"ERP Settings",false,false,P1,"Subordinate data for ERP Settings; keep it as a tab, repeater, relationship, or child collection instead of a menu CRUD."
core,core_production_policies,"سياسات الإنتاج","Production Policies","/admin/core/production-policies [admin.core.production-policies.index]",UI_SHELL_ONLY_EMPTY_DATASET,MERGE_INTO_PARENT,"ERP Settings",false,false,P1,"Subordinate data for ERP Settings; keep it as a tab, repeater, relationship, or child collection instead of a menu CRUD."
core,core_quality_policies,"سياسات الجودة","Quality Policies","/admin/core/quality-policies [admin.core.quality-policies.index]",UI_SHELL_ONLY_EMPTY_DATASET,MERGE_INTO_PARENT,"ERP Settings",false,false,P1,"Subordinate data for ERP Settings; keep it as a tab, repeater, relationship, or child collection instead of a menu CRUD."
core,core_maintenance_policies,"سياسات الصيانة","Maintenance Policies","/admin/core/maintenance-policies [admin.core.maintenance-policies.index]",UI_SHELL_ONLY_EMPTY_DATASET,MERGE_INTO_PARENT,"ERP Settings",false,false,P1,"Subordinate data for ERP Settings; keep it as a tab, repeater, relationship, or child collection instead of a menu CRUD."
product_data,product_data_product_types,"أنواع المنتجات","Product Types","/admin/product-data/product-types [admin.product-data.product-types.index]",UI_SHELL_ONLY_EMPTY_DATASET,MERGE_INTO_PARENT,"Product Master — classification",false,false,P1,"Subordinate data for Product Master — classification; keep it as a tab, repeater, relationship, or child collection instead of a menu CRUD."
product_data,product_data_raw_material_types,"أنواع الخامات","Raw Material Types","/admin/product-data/raw-material-types [admin.product-data.raw-material-types.index]",UI_SHELL_ONLY_EMPTY_DATASET,MERGE_INTO_PARENT,"Product Master — classification",false,false,P1,"Subordinate data for Product Master — classification; keep it as a tab, repeater, relationship, or child collection instead of a menu CRUD."
product_data,product_data_semi_finished_product_types,"أنواع المنتجات نصف المصنعة","Semi-Finished Product Types","/admin/product-data/semi-finished-product-types [admin.product-data.semi-finished-product-types.index]",UI_SHELL_ONLY_EMPTY_DATASET,MERGE_INTO_PARENT,"Product Master — classification",false,false,P1,"Subordinate data for Product Master — classification; keep it as a tab, repeater, relationship, or child collection instead of a menu CRUD."
product_data,product_data_finished_product_types,"أنواع المنتجات التامة","Finished Product Types","/admin/product-data/finished-product-types [admin.product-data.finished-product-types.index]",UI_SHELL_ONLY_EMPTY_DATASET,MERGE_INTO_PARENT,"Product Master — classification",false,false,P1,"Subordinate data for Product Master — classification; keep it as a tab, repeater, relationship, or child collection instead of a menu CRUD."
product_data,product_data_packaging_material_types,"أنواع مواد التعبئة","Packaging Material Types","/admin/product-data/packaging-material-types [admin.product-data.packaging-material-types.index]",UI_SHELL_ONLY_EMPTY_DATASET,MERGE_INTO_PARENT,"Product Master — classification",false,false,P1,"Subordinate data for Product Master — classification; keep it as a tab, repeater, relationship, or child collection instead of a menu CRUD."
product_data,product_data_service_types,"أنواع الخدمات","Service Types","/admin/product-data/service-types [admin.product-data.service-types.index]",UI_SHELL_ONLY_EMPTY_DATASET,MERGE_INTO_PARENT,"Product Master — classification",false,false,P1,"Subordinate data for Product Master — classification; keep it as a tab, repeater, relationship, or child collection instead of a menu CRUD."
product_data,product_data_product_families,"عائلات المنتجات","Product Families","/admin/product-data/product-families [admin.product-data.product-families.index]",UI_SHELL_ONLY_EMPTY_DATASET,FUTURE_BACKLOG,"Optional Product classification masters",false,true,P2,"Plausible ERP capability, but not confirmed for the immediate Plastic Factory execution path and not implemented beyond shell metadata."
product_data,product_data_product_brands,"العلامات التجارية للمنتجات","Product Brands","/admin/product-data/product-brands [admin.product-data.product-brands.index]",UI_SHELL_ONLY_EMPTY_DATASET,FUTURE_BACKLOG,"Optional Product classification masters",false,true,P2,"Plausible ERP capability, but not confirmed for the immediate Plastic Factory execution path and not implemented beyond shell metadata."
